generation,best_fitness,avg_fitness,std_fitness,delta_element.Cd.levels[0],delta_element.Cd.levels[1],delta_element.Cd.slater[0],delta_element.Cd.slater[1],delta_element.Cd.shpoly[0],delta_element.Cd.shpoly[1],delta_element.Cd.kcn[0],delta_element.Cd.kcn[1],delta_element.Cd.gam,delta_element.Cd.lgam[0],delta_element.Cd.lgam[1],delta_element.Cd.arep,delta_element.Cd.en,delta_element.S.levels[0],delta_element.S.levels[1],delta_element.S.levels[2],delta_element.S.slater[0],delta_element.S.slater[1],delta_element.S.slater[2],delta_element.S.shpoly[0],delta_element.S.shpoly[1],delta_element.S.shpoly[2],delta_element.S.kcn[0],delta_element.S.kcn[1],delta_element.S.kcn[2],delta_element.S.gam,delta_element.S.lgam[0],delta_element.S.lgam[1],delta_element.S.lgam[2],delta_element.S.arep,delta_element.S.en
1,inf,inf,,0.027648703439181688,-0.06519630047053626,-0.09720393335550148,0.13028124026476995,0.015810495356193735,-0.004460161467633672,-0.046047483141917284,-0.016472975405240644,0.01584462613849036,0.01935698493517468,-0.012871216498804405,0.08707899023585819,-0.07418023954917619,-0.053525671613144254,0.148542925218889,0.2214523558231023,-0.06779742992284721,0.105840498736403,0.05713182238685599,0.03619825341801522,-0.004077230471887051,0.01277110996671188,-0.010200194033634202,-0.0035988639208053563,0.000973829285600053,0.12383288809176862,-0.10868064657671272,0.0697258812676591,-0.16962040128449085,0.18199495850681435,0.0660684689912614
2,inf,inf,,-0.0020747126017184314,-0.19457836839176812,-0.06280135419087451,-0.058328848883329565,0.011374148643821122,-0.006458537733211832,-0.0363705874967981,-0.07495617944672851,0.009648805840218988,-0.010898712010264822,-0.1987841094985514,0.17214366674328363,-0.12659221793186815,-0.026146518416855002,0.053858820033244825,0.15214678720794228,-0.054723756773653154,-0.1300215557374329,-0.01719651181118209,0.03515965596750273,-0.009786085877946389,-0.033210593543224476,-0.016134085157334416,-0.0008471113119987439,-0.000990044890893103,0.09342762150063832,0.04401081254552408,-0.06402720268653661,-0.20348361087121059,-0.01984717774048317,-0.06622731418926131
3,0.3047760122614638,0.9964817326098032,0.5339419985320436,0.0038037883523429628,0.08247134168998782,-0.0898771776796139,-0.012830042527437024,0.02449183735716806,0.005136479258201862,-0.029198921436914865,0.0643746866099247,-0.009059767319826662,0.07042877098129141,0.0685583176265262,0.04249091563246998,-0.021427598052847108,-0.09191796536268626,0.12052789839384737,-0.02189356764458239,-0.0426309143814918,0.004608951948798623,-0.042013102217428155,-0.012295136958927533,-0.008201095479192212,0.013450601303747839,0.006767894102897493,-0.003854885160300303,0.00043047391045203214,0.013214282913724507,-0.1002870179943558,-0.01812713644393893,0.07763765521412891,-0.03316251965693451,-0.12511824936924087
4,0.0489952615055782,0.6578550608366707,0.4395378088029454,-0.01998009183444438,-0.11449140032220395,-0.04419826190649556,-0.22374651544740143,0.025688541468435036,0.011131477990571695,-0.009061492712378424,0.14086476923842947,-0.0177232518393049,0.06279807105287927,-0.0826481822534616,0.1326056529619637,-0.026565003265609288,-0.1413218103224132,-0.021720557193612322,0.049521634149811256,-0.005904811447780212,0.017131289176787412,-0.04929111812522735,0.0277324609296343,-0.013523385583051196,-0.0010186725858477574,0.018484222750256768,-0.005810762754442478,-0.0011408321928055836,0.029408785019685357,0.024494461103133025,0.06781062081318123,0.07310250627710535,-0.0664773574224462,-0.1328058785981816
5,0.06879943059357396,0.3234409592133355,0.21613567758374858,0.17345553863995455,-0.0646310062860338,-0.06041339237325838,-0.246688214178169,0.024421685754494743,0.014086057965843418,0.039089919390340185,0.10166981012434888,0.007151650139976512,0.0976011129166714,-0.09839156968702112,0.10742349863812617,-0.039541573965455656,-0.13198775124808648,0.03922091061129862,-0.028064558283305896,-0.06460350600948139,-0.04279775481903747,0.1357437022657253,0.003938702519534626,-0.013485788622074966,-0.02012040041843763,-0.024992374635169942,-0.0049774882094299686,-0.00036186693569412523,0.003930926399941748,-0.03647071930564205,0.19592215872167207,0.14011883712019602,0.060429482580144356,0.010471750837996119
6,0.0728834044896367,0.40567401155460114,0.24072927458465537,0.005959426169402704,0.014504893822528064,0.0073024576189586465,-0.19253919581633172,0.010458514446292533,0.01206624873203499,0.029959378446585673,0.15963333955659625,-0.024992350508430156,0.1444958169990942,-0.11556862681279256,0.03512597213192903,-0.09987644900751591,-0.20968773662202267,0.1357551879057617,0.038035544554044565,-0.023089982912044782,-0.054240261529529654,-0.030692425324992945,0.00028978900582307676,-0.01067388481636946,-0.029666100372412768,0.015588132244792968,0.0022921190530669072,-0.00041125758542562285,0.0527291533968951,0.06294359057543186,-0.004964104695134863,0.03127440397352954,0.05491277265573835,-0.1292659682267976
7,0.05382790772452517,0.45416009083349135,0.3851674679944528,0.14918795406215501,-0.17039863879685635,0.03387487870490569,-0.15443206900779582,0.02428935660541541,0.00020958047702347715,-0.06762266112119648,0.16050808528648533,0.013131251552655071,0.0492806332069613,-0.07536312709780235,0.18955123275663377,-0.09068865327426212,-0.20623013499771048,0.16571382523258826,-0.01968718358542154,0.012543673806447053,0.016899318048490652,0.019986565835560688,0.025396893205018478,-0.009739330612036724,-0.014730096898609962,0.01405240213292619,-0.005267792029287309,-0.0009583828332141789,-0.051932226515757796,0.06191632514605039,0.18822621933014816,0.0363299810603952,0.04530415009057198,-0.19981748349523798
8,0.089650530673276,0.3014231008221165,0.17088194194717418,0.07090984171472847,-0.15848299202704252,-0.04587236319840704,-0.2946983619569701,0.020632479034576448,0.01354249703292501,-0.09634470415076093,0.13909584803491598,-0.0015064370549850437,0.025207160556834696,-0.004870936675440474,0.04842785922658166,-0.04608289234349883,-0.022568092794021055,0.15223353630186232,0.07203862685154849,-0.026383563404442256,0.00489132623846289,-0.04740219929813083,0.035866096347249576,-0.009593141221847172,0.01633282093333313,-0.01704866325822965,-0.002922445279114623,-0.0010151778513658328,-0.05318888491756546,0.2271511863908231,0.16345737631430324,0.14213024229283966,-0.12644839233127225,-0.10916005628053416
9,0.07430278359523279,0.32949741092618295,0.2012678825774937,0.043825092706955004,-0.10548420923126267,-0.017269552894963347,-0.26416747649718675,0.025688436162590145,0.01390104637776092,-0.08713185156547726,0.14928583339107382,-0.003982057749214618,0.031386795297343895,-0.03442095244613608,0.12021328879401416,0.0783923775559825,-0.23727751507155048,0.02069295493975254,-0.0608151914880557,-0.006655351269278853,0.029480565825811045,-0.05201062794545641,0.022052556074441204,-0.00916200797043596,0.020079826805502327,0.01782664823868746,-0.0064734489928586145,0.0003742679941439366,-0.04607353000601144,0.0076739479996790205,0.08487059487743376,0.04826309415877028,-0.05886713573467395,-0.12324846962505465
10,0.06042095373295586,0.2642220173933456,0.19998411944885375,0.03806047675892543,-0.04940957819363723,0.032557414629869275,-0.22782647525787858,0.02563213000640026,0.014943436655036516,-0.08334351769439399,0.08164565700820217,-0.003555167953446292,0.124004661808645,0.004856758764126501,0.13518403468481877,-0.021843619667888836,-0.10892703983038743,0.06730908276287195,-0.04360583857572187,0.02718743910820498,0.020763536454681653,-0.01716777957069704,0.03792589380718439,-0.01268900618769963,0.00975101475418444,0.02731585039274559,-0.00480457389347437,-0.0012903278248908075,0.008475218387293149,-0.008666138902110654,0.0916897439863934,0.0403857925082014,-0.11615565013985063,-0.013179124083872118
11,0.0518116169406051,0.2168026367037957,0.11900662681306796,0.029729918624537888,-0.16596080065690044,0.027730557146467216,-0.20386835766749,0.021131738268135775,0.011027811663694972,-0.08451275395393393,0.174680427109874,-0.01942738931740197,0.04475424318352794,-0.018870163550210206,0.05012402911831626,-0.09721779816267673,-0.10364159021749586,0.00065548761429568,0.039986280640922356,0.020627922878932115,-0.023005360995575375,0.00019849798021120968,0.02481425048094313,-0.005247046789765709,0.025349481269202806,0.025369185539840383,-0.006570414065176423,-0.001024294087658053,0.019883526919501793,-0.1312995476244172,0.046955182027398235,0.02639667090021236,-0.03747533003990444,-0.07969633036918111
12,0.06543568330811556,0.22529769580115705,0.09877125009465412,0.08256838318886395,-0.18284374887039023,0.00745986516341679,-0.07876683686198893,0.023187330741480425,0.012900031773742465,0.025572482413608648,0.13410512771117278,-0.006732281514519406,0.07281890527178647,-0.0023524191694658247,0.03977803464008245,-0.12628738980566157,-0.1390771210043411,-0.06834203750914725,0.09571781662231693,0.0328622283778186,-0.01974847288850401,-0.11086569249605138,0.01602475920031235,-0.008141916465308659,-0.021230175726501654,0.01705341254403303,-0.00774514028772464,-0.0011870908401350605,0.09830239335339208,-0.06850760528587618,0.0790568625913145,0.06897245703783739,-0.13978709604900352,-0.03879313522449923
